food_id,pid,amount,unit
64,216,1.000,5
64,221,1.000,5
64,221,1.000,5
64,222,1.000,5
64,222,1.000,5
64,223,1.000,5
64,223,1.000,5
64,224,1.000,5
64,224,1.000,5
64,257,3.000,5
64,258,3.000,5
64,428,1.000,5
64,428,1.000,5
65,180,0.510,1
65,219,0.105,1
65,231,0.105,1
65,232,0.300,1
65,57,3.000,5
65,58,3.000,5
65,59,3.000,5
65,72,3.000,5
65,125,9.000,5
65,215,3.000,5
65,216,3.000,5
65,221,3.000,5
65,222,3.000,5
65,223,3.000,5
65,224,3.000,5
65,428,3.000,5
66,180,0.510,1
66,219,0.105,1
66,231,0.105,1
66,232,0.300,1
66,57,3.000,5
66,58,3.000,5
66,59,3.000,5
66,72,9.000,5
66,126,9.000,5
66,215,3.000,5
66,215,3.000,5
66,216,3.000,5
66,222,3.000,5
66,222,3.000,5
66,223,3.000,5
66,428,3.000,5
67,141,0.020,1
67,146,0.035,1
67,147,0.020,1
67,180,0.170,1
67,192,0.030,1
67,193,0.015,1
67,231,0.035,1
67,232,0.100,1
67,57,1.000,5
67,58,1.000,5
67,59,1.000,5
67,72,3.000,5
67,125,1.000,5
67,128,1.000,5
67,181,1.000,5
67,215,1.000,5
67,216,1.000,5
67,221,1.000,5
67,222,1.000,5
67,223,1.000,5
67,224,1.000,5
67,312,1.000,5
68,178,0.120,1
68,219,0.035,1
68,231,0.035,1
68,72,3.000,5
68,215,1.000,5
68,221,1.000,5
68,222,1.000,5
68,224,1.000,5
69,179,0.240,1
69,219,0.035,1
69,231,0.035,1
69,72,3.000,5
69,215,1.000,5
69,221,1.000,5
69,222,1.000,5
69,224,1.000,5
70,139,0.03,1
70,139,0.08,1
70,197,0.01,1
70,136,1,5
70,183,0.04,1
70,69,0.03,1
70,150,0.02,1
70,196,0.03,1
70,200,0.08,1
70,193,0.05,1
70,198,0.02,1
71,139,0.220,1
71,150,0.020,1
71,193,0.050,1
71,136,1.000,5
72,138,0.150,1
72,139,0.120,1
72,150,0.020,1
72,231,0.030,1
72,136,1.000,5
73,68,0.030,1
73,192,0.200,1
73,201,0.015,1
73,239,0.020,1
73,358,0.020,1
73,81,0.0075,1
73,206,0.15,1
73,349,0.5,1
73,430,0.03,1
73,372,0.01,1
73,359,0.010,1
73,127,2.000,5
73,216,1.000,5
73,223,1.000,5
73,21,0.06666667,5
73,66,0.075,8
73,55,0.05,8
73,65,0.05,8
74,68,0.030,1
74,192,0.200,1
74,196,0.015,1
74,201,0.025,1
74,203,0.003,1
74,204,0.050,1
74,239,0.025,1
74,368,0.100,1
74,55,0.15,1
74,239,0.02,1
74,430,0.02,1
74,372,0.01,1
74,216,1.000,5
74,223,1.000,5
74,66,0.06,8
74,276,0.15,8
74,361,0.33,8
75,10,1.000,5
76,19,1.000,5
77,12,1.000,5
78,21,1.000,5
79,15,1.000,5
81,180,0.680,1
81,215,4.000,1
81,219,0.140,1
81,231,0.140,1
81,232,0.400,1
81,57,4.000,5
81,58,4.000,5
81,59,4.000,5
81,72,10.000,5
81,125,12.000,5
81,215,4.000,5
81,216,4.000,5
81,222,4.000,5
81,222,4.000,5
81,223,4.000,5
81,428,4.000,5
82,125,1.00,5
83,7,0.003,1
83,199,0.230,1
84,259,1.000,5
85,180,0.285,1
85,219,0.035,1
85,231,0.035,1
85,72,3.000,5
85,215,1.000,5
85,221,1.000,5
85,222,1.000,5
85,224,1.000,5
86,136,1.000,5
87,127,1.000,5
88,69,0.020,1
88,132,0.070,1
88,138,0.065,1
88,139,0.030,1
88,139,0.170,1
88,140,0.100,1
88,150,0.020,1
88,183,0.020,1
88,196,0.020,1
88,200,0.080,1
88,136,1.000,5
89,141,0.020,1
89,147,0.020,1
89,192,0.030,1
89,193,0.015,1
89,128,1.000,5
89,181,1.000,5
89,312,1.000,5
90,64,0.020,1
90,147,0.020,1
90,182,0.145,1
90,192,0.030,1
90,193,0.015,1
90,313,1.000,5
91,312,1.000,5
93,68,0.030,1
93,192,0.200,1
93,201,0.015,1
93,239,0.020,1
93,358,0.020,1
93,81,0.0075,1
93,206,0.15,1
93,349,0.5,1
93,430,0.03,1
93,372,0.01,1
